date,time|cst,stage|meters,discharge|cms,preciptation|amm
08/16/2022,11:00,0.429,1.50,62.74
08/16/2022,10:45,0.429,1.50,62.74
08/16/2022,10:30,0.430,1.52,62.74
08/16/2022,10:15,0.428,1.47,62.74
08/16/2022,10:00,0.429,1.50,62.74
08/16/2022,09:45,0.429,1.50,62.74
08/16/2022,09:30,0.429,1.50,62.74
08/16/2022,09:15,0.429,1.50,62.74
08/16/2022,09:00,0.428,1.47,62.74
08/16/2022,08:45,0.428,1.47,62.74
08/16/2022,08:30,0.428,1.47,62.74
08/16/2022,08:15,0.427,1.45,62.74
08/16/2022,08:00,0.426,1.42,62.74
08/16/2022,07:45,0.424,1.38,62.74
08/16/2022,07:30,0.423,1.35,62.74
08/16/2022,07:15,0.422,1.33,62.74
08/16/2022,07:00,0.422,1.33,62.74
08/16/2022,06:45,0.421,1.31,62.74
08/16/2022,06:30,0.421,1.31,62.74
08/16/2022,06:15,0.421,1.31,62.74
08/16/2022,06:00,0.422,1.33,62.74
08/16/2022,05:45,0.422,1.33,62.74
08/16/2022,05:30,0.421,1.31,62.74
08/16/2022,05:15,0.422,1.33,62.74
08/16/2022,05:00,0.422,1.33,62.74
08/16/2022,04:45,0.421,1.31,62.74
08/16/2022,04:30,0.420,1.28,62.74
08/16/2022,04:15,0.419,1.26,62.74
08/16/2022,04:00,0.420,1.28,62.74
08/16/2022,03:45,0.419,1.26,62.74
08/16/2022,03:30,0.420,1.28,62.74
08/16/2022,03:15,0.420,1.28,62.74
08/16/2022,03:00,0.420,1.28,62.74
08/16/2022,02:45,0.420,1.28,62.74
08/16/2022,02:30,0.420,1.28,62.74
08/16/2022,02:15,0.421,1.31,62.74
08/16/2022,02:00,0.420,1.28,62.74
08/16/2022,01:45,0.420,1.28,62.74
08/16/2022,01:30,0.421,1.31,62.74
08/16/2022,01:15,0.421,1.31,62.74
08/16/2022,01:00,0.422,1.33,62.74
08/16/2022,00:45,0.422,1.33,62.74
08/16/2022,00:30,0.422,1.33,62.74
08/16/2022,00:15,0.422,1.33,62.74
08/16/2022,00:00,0.422,1.33,62.74
08/15/2022,23:45,0.422,1.33,62.74
08/15/2022,23:30,0.423,1.35,62.74
08/15/2022,23:15,0.422,1.33,62.74
08/15/2022,23:00,0.423,1.35,62.74
08/15/2022,22:45,0.424,1.38,62.74
08/15/2022,22:30,0.424,1.38,62.74
08/15/2022,22:15,0.423,1.35,62.74
08/15/2022,22:00,0.424,1.38,62.74
08/15/2022,21:45,0.424,1.38,62.74
